[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr
guild_stash_in_use|Someone else is currently accessing Guild Stash.|Joku muu käyttää kiltapankkia juuri nyt.|Outra pessoa está acessando o armazém da guilda no momento.|В настоящее время кто-то другой использует Guild Stash. |其他人目前正在访问公会储藏室。|現在、他のユーザーがギルド スタッシュにアクセスしています。|다른 사람이 현재 길드 보관함에 접근하고 있습니다.|Jemand anderes greift gerade auf das Gildenlager zu.|Quelqu'un d'autre accède actuellement au coffre de guilde.
guild_stash_add_tab|Add Tab|Lisää välilehti|Adicionar guia |Добавить вкладку |添加标签 |タブを追加 |탭 추가 |Registerkarte „Hinzufügen“ |Ajouter un onglet 
|||||||||
blood_pact_stash_in_use|Someone else is currently using the Pact Stash.|Joku muu käyttää verivalapankkia juuri nyt.|Alguém mais está usando o Pact Stash no momento. |В настоящее время Pact Stash использует кто-то другой. |当前有人正在使用 Pact Stash。 |現在、他の誰かが Pact Stash を使用しています。 |현재 다른 사람이 Pact Stash를 사용하고 있습니다. |Jemand anderes verwendet derzeit den Pact Stash. |Quelqu'un d'autre utilise actuellement le Pact Stash. 
|||||||||
red|Red|Punainen|Vermelho|Красный|红|赤|빨강|Rot|Rouge
green|Green|Vihreä|Verde|Зеленый|绿|緑|초록|Grün|Vert
blue|Blue|Sininen|Azul|Синий|蓝|青|파랑|Blau|Bleu
no_guild|You are not in a guild. Would you like to create one?|Et ole killassa. Haluaisitko luoda killan?|Você não está em uma guilda. Gostaria de criar uma?|Вы не состоите в гильдии. Хотите создать его?|你尚未加入公会。 你希望创建一个公会吗？|あなたはまだギルドに入っておりません。 1つ作成してみたらどうですか？|소속된 길드가 없습니다. 길드를 생성하시겠습니까?|Du bist nicht in einer Gilde. Möchten Sie eine erstellen?|Vous n'êtes pas dans une guilde. Voulez-vous en créer une ?
resign|Resign|Eroa|Demitir-se|Подать в отставку|放弃|断念する|지역|Rücktritt|Annuler
create|Create|Luo|Criar|Создавать|创建|作成する|생성|Erstellen|Créer
yes|Yes|Kyllä|Sim|Да|是|はい|예|Ja|Oui
no|No|Ei|Não|Нет|否|いいえ|아니요|Nein|Non
confirm|Confirm|Hyväksy|Confirmar|Подтверждать|确认|確認|확인|Bestätigen|Confirmer
cancel|Cancel|Peruuta|Cancelar|Отмена|取消|キャンセル|취소|Abbrechen|Annuler
retry|Retry|Yritä uudelleen|Tentar novamente|Повторить попытку|重试|リトライ|다시 해 보다|Wiederholen|Réessayer
guild_created|Guild created successfully.|Kilta luotu onnistuneesti.|Guilda criada com sucesso.|Гильдия успешно создана.|公会已成功创建。|ギルドの設置に成功しました|길드가 성공적으로 생성되었습니다.|Gilde erfolgreich erstellt.|La guilde a été créée avec succès.
join|Join|Liity|Participar|Присоединиться|加入|参加|참가하기|Beitreten|Rejoindre
leave|Leave|Poistu|Sair|Оставлять|离开 |離れる |떠나다 |Verlassen |Quitter
request_trade|has sent a trade request|lähetti vaihtopyynnön|enviou um pedido de troca|отправил запрос на обмен|已发送交易请求|トレードリクエストを送信しました|거래 요청을 보냈습니다.|hat eine Handelsanfrage gesendet|a envoyé une demande d'échange
request_guild|has sent a request to join guild|lähetti pyynnön liittyä kiltaan|enviou um pedido para entrar na guilda|отправил заявку на вступление в гильдию|已发送加入请求|参加リクエストを送信しました|가입 요청을 보냈습니다.|hat eine Beitrittsanfrage gesendet|a envoyé une demande d'adhésion à la guilde
request_trade_sent|Pending trade request with|Odotetava vaihtopyyntöä pelaajalle|Pedido de troca pendente com|Ожидающий торговый запрос с|待处理的贸易要求|保留中の取引リクエスト|거래 요청 대기 중|Ausstehende Handelsanfrage mit|Demande d'échange en attente avec
request_guild_sent|Pending guild invite with|Odotetava kiltaanliittymispyyntö pelaajalle|Convite para guinda pendente com|Ожидается приглашение в гильдию с|等待公会邀请 |保留中のギルド招待 |보류 중인 길드 초대 |Ausstehende Gildeneinladung mit |Invitation de guilde en attente avec
friend_list|Friend List|Ystävälista|Lista de Amigos|Список друзей|好友列表|友達リスト|친구 목록|Freundesliste|Liste d'amis
friend_enter_id|Enter friend id:|Syötä ystävän id:|Insira a id do amigo:|Введите идентификатор друга:|输入朋友ID：|友達IDを入力してください：|친구 ID 입력 :|Freund-ID eingeben:|Entrez l'identifiant de l'ami :
friend_add|Add Friend|Lisää ystävä|Adicionar amigo|Добавить в друзья|添加好友|友人を追加する|친구 추가|Freund hinzufügen|Ajouter un ami
friend_remove|Remove Friend|Poista ystävä|Remover amigo|Удалить друга|删除朋友|友達を削除する|친구 제거|Freund entfernen|Supprimer un ami
invite|Invite|Kutsu|Convidar|Приглашать|邀请 |招待する |초대하다 |Einladen |Inviter
guild_link_warning|Careful! This is a third party link that is NOT associated with Panic Art Studios, but put here by your guild manager. Are you sure you wish to proceed to |Varo! Tämä on kolmannen osapuolen linkki jonka kiltasi omistaja on laittanut tähän. Haluatko varmasti jatkaa osoitteeseen |Cuidado! Este é um link de terceiros que NÃO está associado com a Panic Art Studios, mas foi colocado aqui pelo gerente da guilda. Tem certeza que deseja prosseguir para| Осторожный! Это сторонняя ссылка, НЕ связанная с Panic Art Studios, а размещенная здесь менеджером вашей гильдии. Вы уверены, что хотите перейти к|小心！这是与 Panic Art Studios 无关的第三方链接，而是由您的公会管理员在此处放置的。您确定要继续吗 |注意してください！これは Panic Art Studios とは関係のないサードパーティのリンクですが、ギルドマネージャーによってここに配置されています。続行してもよろしいですか？ |주의하세요! 이것은 Panic Art Studios와 관련이 없는 제3자 링크이지만, 귀하의 길드 관리자가 여기에 게시한 것입니다. 계속 진행하시겠습니까? |Achtung! Dies ist ein Drittanbieter-Link, der NICHT mit Panic Art Studios verbunden ist, sondern von Ihrem Gildenmanager hier platziert wurde. Möchten Sie wirklich fortfahren? |Attention ! Il s'agit d'un lien tiers qui n'est PAS associé à Panic Art Studios, mais placé ici par votre responsable de guilde. Êtes-vous sûr de vouloir continuer ? 
|||||||||
[shop]|||||||||
clothing|Clothing|Vaatteet|Roupas|Одежда|服装|衣装|복장|Bekleidung|Vêtements
mercenary|Mercenary|Palkkasoturi|Mercenário|Наемник|部下|ミニオン（部下）|부하|Söldner|Mercenaire
active|Active|Aktiivinen|Ativo|Активный|活跃|有効|활성화|Aktiv|Actif
passive|Passive|Passiivinen|Passivo|Пассивный|被动|パッシブ|패시브|Passiv|Passif
name_color|Name color|Nimen väri|Cor do nome|Цвет имени|名字颜色|名前の色|이름 색깔|Namensfarbe|Couleur du nom
exit_shop|Exit shop|Poistu kaupasta|Sair da loja|Выход из магазина|退出商店|ショップから出る|상점에서 나가기|Shop verlassen|Quitter
melee|Melee|Lähitaistelu|Corpo a corpo|Ближний бой|近战|近接|근접|Nahkampf|Combat rapproché
ranged|Ranged|Kaukotaistelu|Longo alcance|Дальний бой|远程|遠隔|원거리|Fernkampf|Combat à distance
shield|Shield|Kilpi|Escudo|Щит|盾 |シールド |방패 |Schild |Bouclier
name|Name|Nimi|Nome|Имя|名字|名前|이름|Bennenen|Nom
use|use|käytä|Usar|использовать|使用|使用|사용|nutzen|utiliser
choose_portrait|Portrait|Valitse kuvake|Retrato|Портрет|肖像|ポートレート|초상화|Porträt|Portrait
hud|Interface|Käyttöliittymä|Interface|Интерфейс|界面|インターフェース|상호 작용|Interface|Interface
not_enough_rubies|not enough rubies|ei tarpeeksi rubiineja|Não há rubis o suficiente|недостаточно рубинов|红宝石不足|ルビーが足りない|루비가 부족합니다|zu wenig Rubine|pas assez de rubis
not_enough_crystals|not enough crystals|ei tarpeeksi kristalleja|Não há cristais o suficiente|недостаточно кристаллов|水晶不足|クリスタルが足りない|크리스탈이 부족합니다|zu wenig Kristalle|pas assez de cristaux
not_enough_gold_need|Not enough gold. You need|Ei tarpeeksi kultaa. Tarvitset|Não há ouro o suficiente. Você precisa de|Недостаточно золота. Тебе нужно|黄金不足。你需要|ゴールドが足りません。あと _ 必要です|골드가 충분하지 않습니다. ___만큼이 더 필요합니다.|Nicht genug Gold. Du brauchst|pas assez d'or. Vous avez besoin de
not_enough_gold|not enough gold|ei tarpeeksi kultaa|Não há ouro o suficiente.|недостаточно золота|没有足够的黄金 |ゴールドが足りない |금이 부족해 |nicht genug Gold |Or insuffisant
coins_to_reset_talents|coins to reset talents.|kultaa palauttaaksesi taitosi.|moedas para resetar os talentos.|монеты для сброса талантов.|才能重新设定角色技能。|タレントをリセットするまで _ 枚のコイン|재능을 리셋하는데 ___만큼의 코인이 필요합니다.|Münzen, um die Talente zurückzusetzen.|pièces pour réinitialiser les talents.
coins_to_rename|coins to rename.|kultaa uudelleennimetäksesi.|moedas para renomear|монеты для переименования.|硬币以重命名。|名前を変更するコイン。|이름을 바꿀 동전.|Münzen zum Umbenennen.|pièces à renommer.
coins_to_confirm|coins to confirm changes.|kultaa vahvistaaksesi muutokset.|moedas para confirmar mudanças|монеты для подтверждения изменений. |硬币以确认更改。 |変更を確認するコイン。 |변경 사항을 확인할 동전. |Münzen zum Bestätigen von Änderungen. |pièces pour confirmer les modifications. 
saving_shop|Saving shop...|Tallennetaan kauppaa...|Salvando a loja...|Сохранение магазина...|保存商店...|ショップを保存しています...|상점 저장 중...|Speichern...|Sauvegarde de la boutique...
unlocked|Unlocked|Avattu|Desbloqueado|Разблок.|已解锁|ロックが解除された|잠금 해제|Entsperrt|Déverrouillé
unlock|Unlock|Avaa|Desbloquear|Разблок.|开锁|ロック解除|터놓다|Freischalten|Déverrouiller
lock|Lock|Lukitse|Bloquear|Замок|锁|ロック|잠금|Schloss|Serrure
buy_key|Satanic Key|Saatanallinen avain|Chave Satânica|Сатанинский ключ|撒旦钥匙 |悪魔の鍵 |사탄의 열쇠 |Satanischer Schlüssel |Clé satanique 
requires_hero_level|Requires Hero Level|Vaatii sankaritason|Requer Nível Heroico|Требуется уровень героя|需要英雄等级|ヒーローレベルが必要|필요한 영웅 레벨|Benötigt Helden-Level|Nécessite un héros niveau
halloween|Halloween|Halloween|Halloween|Хэллоуин|万圣节|ハロウィーン|할로윈|Halloween|Halloween
christmas|Christmas|Joulu|Natal|Рождество|圣诞节|クリスマス|크리스마스|Weihnachten|Noël
reward|Reward|palkinto|Recompensa|Награда|报酬|報酬|보상|Belohnung|bonus
progress|Progress|Edistyminen|Progresso|Прогресс|进步|進捗|진행 상황|Fortschritt|Progrès
quest_objective|Quest objective|Tehtävä|Objetivo da Missão|Цель квеста |任务目标 |クエストの目的 |퀘스트 목표 |Questziel |Objectif de la quête 
easter_egg|Shh... It's a secret.|Shh... Se on salaisuus.|Shh... É um segredo.|Тсс... Это секрет.|嘘...它是个秘密。|シーっ...これは秘密です。|쉿... 이건 비밀이야.|Shh... Es ist ein Geheimnis.|Chut... C'est un secret.
featured|Featured|Esittelyssä|Em destaque|Рекомендуемые|特征|注目の|추천|Vorgestellt|En vedette
featured_cosmetics|Featured Cosmetics|Esitellyt kosmetiikat|Cosméticos em destaque |Рекомендуемая косметика |特色化妆品 |注目のコスメ |주요 화장품 |Ausgewählte Kosmetika |Cosmétiques en vedette 
accessories|Accessories|Lisävarusteet|Acessórios|Аксессуары|配件|アクセサリー|액세냉기|Zubehör|Accessoires
items|Items|Esineet|Itens|Предметы|项目|アイテム|아이템|Gegenstände|Objets
gems|Gems|Jalokivet|Gemas|Драгоценные камни|宝石|宝石|보석|Edelsteine|Pierres précieuses
locked|Locked|Lukittu|Trancado|Заблокировано|锁着的|ロック済み|잠김|Gesperrt|Verrouillé
deactivate|Deactivate|Deaktivoi|Desativar|Деактивировать|禁用|無効化|비활성화|Deaktivieren|Désactiver
purchase|Purchase|Osta|Comprar |Покупка|购买|購入|구매|Kaufen|Achat
